label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
HELLO,1193.85,6.99,0.0,0.0,902.9,10.56,0.0,0.0,112.75,7.85,15436.0,1692.48,-507.6,7286.36,2075.6,952.56,-418.7,7659.21,-409.9,2986.34,-715.3,20830.59
HELLO,1196.85,8.85,0.0,0.0,905.4,7.72,0.0,0.0,124.2,9.95,15556.2,1533.69,677.4,6354.47,2493.2,1238.44,-1829.25,6752.94,557.55,2189.99,3743.05,16446.97
HELLO,1194.35,4.98,0.0,0.0,904.95,9.57,0.0,0.0,117.9,6.27,15194.8,882.18,-2297.6,5779.02,3172.4,1573.26,37.25,2284.23,-584.65,5136.17,-2755.05,16162.46
HELLO,1192.15,12.5,0.0,0.0,907.45,9.92,0.0,0.0,145.15,14.83,15642.4,1000.09,601.8,5192.02,3682.0,1109.96,-984.4,3310.43,1333.15,2592.2,2128.3,15893.0
HELLO,1192.75,11.67,0.0,0.0,907.1,7.66,0.0,0.0,134.4,20.93,14413.8,1014.84,-3537.8,7160.11,3816.2,1702.01,-675.2,4403.79,-15.0,3677.83,1390.4,18318.25
HELLO,1192.95,7.96,0.0,0.0,909.4,8.52,0.0,0.0,130.4,14.95,12625.0,2707.54,-154.4,11918.85,-949.4,5242.82,-1409.95,5131.99,-2362.6,9393.64,-4175.5,23675.53
HELLO,1195.25,5.03,0.0,0.0,908.55,8.86,0.0,0.0,111.9,10.61,14717.0,2929.31,-2293.8,6431.73,3119.6,3845.57,-62.35,3732.67,1107.6,7826.56,-1611.15,15981.68
HELLO,1195.35,4.41,0.0,0.0,910.45,1.94,0.0,0.0,84.7,8.17,14538.6,1171.38,1933.4,8386.79,-110.4,3162.84,-1804.9,5062.17,1409.15,6083.31,1918.4,18831.82
HELLO,1197.8,1.6,0.0,0.0,910.45,1.2,0.0,0.0,80.05,4.86,14325.0,1915.34,-2772.6,7835.19,3129.2,3185.35,-1206.4,3391.77,2979.3,5740.51,4929.05,17397.76
HELLO,1196.15,3.57,0.0,0.0,910.0,1.9,0.0,0.0,82.6,9.44,12323.6,1208.34,-705.6,10662.92,2226.8,5084.42,-744.15,5096.65,-873.65,10245.27,-851.7,22004.61
HELLO,1197.3,2.67,0.0,0.0,911.85,6.04,0.0,0.0,82.7,9.39,13132.0,2016.92,5660.2,7956.6,1575.4,3371.38,-295.25,6709.12,-362.3,6674.06,-1550.4,17157.64
HELLO,1196.2,1.86,0.0,0.0,910.0,2.85,0.0,0.0,86.15,8.95,14886.0,2051.95,-2830.6,5595.66,5026.2,2437.06,-865.65,4581.51,-1278.1,5994.34,25.35,15117.74
HELLO,1198.2,2.23,0.0,0.0,910.3,7.61,0.0,0.0,98.15,7.24,13232.8,921.88,1821.0,10042.18,3167.6,3633.66,338.45,7067.31,1864.7,6289.39,-1445.1,22723.5
HELLO,1195.35,4.19,0.0,0.0,911.35,1.06,0.0,0.0,107.4,6.18,14202.6,1934.75,-1941.6,6614.91,4014.4,2865.05,-2685.85,5307.74,171.55,7422.73,3745.3,18073.82
HELLO,1195.45,4.01,0.0,0.0,911.25,6.4,0.0,0.0,177.2,65.23,13992.0,1739.1,-3768.6,6713.88,5820.4,3182.26,-411.05,5052.87,1166.6,7518.56,2032.25,15561.59
HELLO,1196.9,2.12,0.0,0.0,910.8,3.91,0.0,0.0,100.55,14.89,14166.4,1782.46,-471.8,7940.09,3721.0,2502.72,-564.0,10361.88,-1307.7,6655.71,-3863.25,19886.31
HELLO,1197.45,2.78,0.0,0.0,910.2,2.2,0.0,0.0,92.55,2.04,15179.2,558.98,-4284.8,1422.43,5699.0,470.1,-845.75,1696.13,62.95,1237.31,1926.15,4596.12
HELLO,1197.3,3.57,0.0,0.0,908.25,4.69,0.0,0.0,99.65,4.07,14658.4,1653.4,-3201.4,5989.4,3934.6,2520.32,-1131.9,1361.76,868.85,5555.8,2776.25,12857.7
HELLO,1195.9,6.62,0.0,0.0,908.65,3.99,0.0,0.0,113.25,12.68,13765.6,1819.23,-3938.0,8690.58,2423.4,3041.99,-1435.95,3494.46,-2607.5,8095.42,-5590.0,21302.7
HELLO,1194.6,6.18,0.0,0.0,906.8,4.85,0.0,0.0,106.3,5.84,14789.4,1112.05,920.0,7604.81,1755.8,1485.67,155.75,3515.64,814.85,3619.04,-172.7,16562.17
HELLO,1198.3,6.91,0.0,0.0,905.75,4.67,0.0,0.0,135.0,29.37,15213.6,934.2,-637.0,6700.95,1665.2,1935.88,-2028.85,5422.08,474.6,4578.75,6644.0,18153.35
HELLO,1201.5,5.71,0.0,0.0,909.6,4.62,0.0,0.0,134.9,13.07,15577.8,1747.72,-1118.4,5750.86,1763.0,912.97,-242.15,2429.89,185.65,2811.04,-2453.7,12095.91
HELLO,1195.55,13.66,0.0,0.0,910.8,9.63,0.0,0.0,114.3,11.73,15217.2,990.37,-2346.8,6345.49,2292.6,2683.0,-597.85,2642.23,29.45,5463.58,2587.9,16771.96
HELLO,1196.95,7.55,0.0,0.0,907.9,9.95,0.3,1.31,128.65,13.63,14452.4,1986.36,-2461.6,7389.2,2776.6,1705.12,-1029.6,3718.14,-427.55,4556.39,-4861.55,19696.68
HELLO,1194.85,6.12,0.0,0.0,909.8,7.86,0.0,0.0,133.85,11.03,14534.0,1726.46,322.4,7437.18,3798.8,1797.45,31.45,2904.03,685.8,4545.41,-672.7,18096.4
HELLO,1197.35,1.85,0.0,0.0,911.9,1.7,0.0,0.0,125.2,9.15,15395.8,1321.76,1659.4,6452.82,2435.8,1172.72,-1196.2,4504.1,-876.9,3041.85,3270.75,18596.14
